Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Bruce Djité,Adelaide United | A-League,ST,64
Romain Élie,Nîmes Olympique | Ligue 2,CB,64
Andreas Landgren,Helsingborgs IF | Allsvenskan,RB,64
Deleu,Cracovia | Ekstraklasa,RB,64
Nordin Gerzić,Örebro SK | Allsvenskan,CM,64
Leigh Broxham,Melb. Victory | A-League,CDM,64
Jay O&#39;Shea,Chesterfield | Football League,RM,64
Wes Fogden,Yeovil Town | Football League,RM,64
Bader Al Kharashi,Al Wehda (Mecca) | None,ST,64
Robbie Findley,Toronto FC | MLS,ST,64
Ari Skúlason,Odense Boldklub | Superliga,LB,64
José San Román,Huracán | None,RB,64
Moisés Velasco,Toluca | LIGA Bancomer MX,CM,64
Osmar Mares,América | LIGA Bancomer MX,LB,64
Danny Hollands,Portsmouth | Football League 2,CM,64
Chris Humphrey,Preston | Football League,RM,64
David Worrall,Southend United | Football League 2,RM,64
Kristian Brix,FK Bodø/Glimt | Tippeligaen,LB,64
David Destorme,Waasl.-Beveren | Pro League,CAM,64
Tomi,SK Rapid Wien | A. Bundesliga,CF,64
Mateo Figoli,Al. Petrolera | Liga Postobón,LM,64
Pallardó,Heart of Midlothian | None,CM,64
İsmail Konuk,Akhisarspor | Süper Lig,CB,64
Jacques Salze,Clermont Foot | Ligue 2,CB,64
Dominic Oduro,Montreal Impact | MLS,ST,64
Doug Loft,Gillingham | Football League,CM,64
Robert Åhman Persson,Örebro SK | Allsvenskan,CM,64
Tom Pope,Bury | Football League 2,ST,64
Daniel Brinkmann,Arminia Bielefeld | None,CM,64
Larsen Touré,Ipswich Town | FL Championship,RM,64
Filipe Morais,Bradford City | Football League,RM,64
Andy Williams,Doncaster | Football League,ST,64
Pape Paté Diouf,ODD | Tippeligaen,ST,64
Antony Robic,AS Nancy | Ligue 2,RW,64
Julien Toudic,AC Ajaccio | Ligue 2,ST,64
Bae Ki Jong,Jeju United FC | K LEAGUE,CAM,64
Kim Dong Chan,Jeonbuk FC | K LEAGUE,CF,64
Mehdi Ballouchy,NY City FC | MLS,RM,64
Tyson Wahl,Columbus Crew | MLS,CB,64
Jacob Peterson,Sporting KC | MLS,RW,64
Marc Burch,Colorado Rapids | MLS,LB,64
Hans Julius Norbye,Tromsø IL | None,RB,64
Artem Fidler,FC Ural | Russian League,CDM,64
Tam Scobbie,St. Johnstone | Scottish Prem,CB,64
Simon Ferry,Dundee FC | Scottish Prem,CM,64
Máyor,AD Alcorcón | Liga Adelante,ST,64
Gorka Iturraspe,Bilbao Athletic | None,CM,64
Mariusz Magiera,Górnik Zabrze | Ekstraklasa,CB,64
Anders Wikström,Gefle IF | Allsvenskan,CB,64
Morgaro Gomis,Heart of Midlothian | None,CM,64
Anthony Wordsworth,Southend United | Football League 2,CM,64
Riccardo Nardini,Modena | Serie B,RM,64
Dimas,WS Wanderers | A-League,CDM,64
Baptiste Ulens,KV Kortrijk | Pro League,LB,64
Vilmos Vanczák,FC Sion | Raiffeisen SL,CB,64
Juanjo,UE Llagostera | Liga Adelante,ST,64
Raúl Enríquez,Dorados de Sinaloa | None,ST,64
Murat Akin,Başakşehir | Süper Lig,CM,64
Dennis Grote,MSV Duisburg | None,LM,64
Dany N&#39;Guessan,Doncaster | Football League,ST,64
Rory McArdle,Bradford City | Football League,CB,64
Kostyantyn Yaroshenko,FC Ural | Russian League,CAM,64
Lawrie Wilson,Bolton | FL Championship,RB,64
Calum Woods,Preston | Football League,RB,64
Jeppe Curth,Viborg FF | None,CF,64
Raffaele De Vita,Ross County | Scottish Prem,LM,64
Gary Irvine,Dundee FC | Scottish Prem,LB,64
Elmar Bjarnason,Aarhus GF | None,LM,64
Mikael Dahlberg,Helsingborgs IF | Allsvenskan,ST,64
Jean-Louis Akpa Akpro,Shrewsbury | Football League 2,ST,64
Martin Ehrenreich,SK Sturm Graz | A. Bundesliga,RB,64
Diego Guastavino,Uni. Concepción | Camp. Scotiabank,CAM,64
Patrick Bürger,SV Mattersburg | None,ST,64
Francesco Stanco,Modena | Serie B,ST,64
Habib Bellaïd,Sarpsborg | Tippeligaen,CB,64
Jamie Hamill,Kilmarnock | Scottish Prem,CM,64
Darius Charles,Burton Albion | Football League 2,CB,64
Nicky Adams,Northampton | Football League 2,RM,64
Shpëtim Hasani,GIF Sundsvall | None,ST,64
Jason Demetriou,Walsall | Football League,RB,64
Gary Dicker,Carlisle United | Football League 2,CM,64
Grzegorz Bonin,Górnik Łęczna | Ekstraklasa,RM,64
Robert Braber,Willem II | Eredivisie,CAM,64
Jesper Mathisen,Start | Tippeligaen,CB,64
Andrea Esposito,Latina | Serie B,CB,64
Michal Papadopulos,ZagBbie Lubin | None,ST,64
Silva,Daejeon Citizen | None,CB,64
Simeon Jackson,NG - FA | Free Agents League,ST,64
Joe Walsh,MK Dons | Football League,CB,64
Jonny Magallón,Club León | LIGA Bancomer MX,RB,64
Tim Matthys,KV Mechelen | Pro League,RWB,64
Nathan Doyle,Luton Town | Football League 2,CM,64
Gonzalo,Albacete | Liga Adelante,CB,64
Scott Cuthbert,Luton Town | Football League 2,RB,64
Aboubacar Sylla,Al-Khaleej | ALJ League,CDM,64
Julian Jenner,Notts County | Football League,LW,64
Valerio Foglio,Novara | None,LM,64
Luca Pagliarulo,Trapani | Serie B,CB,64
Roberto Nurse,Dorados de Sinaloa | None,ST,64
Thiago Xavier,ES Troyes | Ligue 2,CDM,64
Carlos Pinto,Dorados de Sinaloa | None,LM,64
Daniel Pavlovic,Frosinone | Serie B,LB,64
Juan Manuel Cobo,Bahía Blanca | Primera División,CM,64
Richard Socrier,Paris FC | None,ST,64
Yohann Rivière,Dijon FCO | Ligue 2,ST,64
Adam Barrett,Southend United | Football League 2,CB,64
Omar Pouso,G. La Plata | Primera División,CM,64
Tobias Eriksson,Kalmar FF | Allsvenskan,CM,64
Charles Diers,Angers SCO | Ligue 2,RM,64
Adebayo Akinfenwa,AFC Wimbledon | Football League 2,ST,64
Will Hoskins,Exeter City | Football League 2,ST,64
Eddy Bosnar,Central Coast | A-League,CB,64
Krzysztof Ostrowski,Śląsk Wrocław | Ekstraklasa,RB,64
Stephan Petersen,Aarhus GF | None,RW,64
Hwang Ji Soo,Pohang Steelers | K LEAGUE,CDM,64
Patrice Bernier,Montreal Impact | MLS,CDM,64
Paweł Sobolewski,Korona Kielce | Ekstraklasa,RM,64
Vidar Nisja,Viking FK | Tippeligaen,CM,64
Chris Wingert,NY City FC | MLS,LB,64
Mark Yeates,Oldham Athletic | Football League,LM,64
Hannes Aigner,SCR Altach | A. Bundesliga,ST,64
Philipp Netzer,SCR Altach | A. Bundesliga,CDM,64
Martijn Monteyne,Roda JC Kerkrade | None,RB,64
Mikkel Rask,Viborg FF | None,CB,64
Mikkel Beckmann,Hobro IK | Superliga,ST,64
Malik Couturier,Stade Lavallois | Ligue 2,CB,64
Benoît Lesoimier,AC Ajaccio | Ligue 2,LM,64
Bartłomiej Konieczny,Podbeskidzie | Ekstraklasa,CB,64
Alexander Gabrielsen,Sandefjord Fotball | None,CB,64
Erik Mjelde,Sandefjord Fotball | None,CM,64
Lars Kristian Eriksen,ODD | Tippeligaen,CB,64
Ivan Cherenchikov,Amkar Perm | Russian League,CB,64
Evgeniy Lutsenko,Mordovia Saransk | Russian League,ST,64
Ruslan Nakhushev,Mordovia Saransk | Russian League,LB,64
Spartak Gogniev,FC Ural | Russian League,ST,64
Alexandr Novikov,FC Ural | Russian League,CB,64
Igor Shevchenko,FC Ufa | Russian League,ST,64
Vesga,Bilbao Athletic | None,CM,64
Atiba Harris,FC Dallas | MLS,RB,64
Ricardo,CD Tenerife | Liga Adelante,CM,64
Ion Vélez,CD Mirandés | Liga Adelante,ST,64
Guillermo Marino,Rafaela | Primera División,CM,64
Marcos Gelabert,San Martín de San Juan | None,CDM,64
Juan Quiroga,Bahía Blanca | Primera División,LB,64
Fram Pacheco,Cúcuta Deportivo | None,CM,64
Iñigo Calderón,Brighton | FL Championship,RM,64
Georgi Peev,Amkar Perm | Russian League,RM,64
Ardian Gashi,ODD | Tippeligaen,CM,64
David Clarkson,Motherwell | Scottish Prem,ST,64
Miguel Sabah,Club León | LIGA Bancomer MX,ST,64
Maurizio Ciaramitaro,Trapani | Serie B,CM,64
Koray Arslan,Antalyaspor | None,RB,64
Daniel Nardiello,Bury | Football League 2,ST,64
James McEveley,Sheffield Utd | Football League,CB,64
Todd Dunivant,LA Galaxy | MLS,LB,64
Aurélien Faivre,Bourg en Bresse 01 | None,CB,64
Kim Chi Gon,Ulsan Hyundai | K LEAGUE,CB,64
Güven Varol,Mersin | Süper Lig,RM,64
Keith Southern,Fleetwood Town | Football League,CDM,64
Lee Williamson,Blackburn Rvrs | FL Championship,CM,64
Robert Earnshaw,Whitecaps FC | MLS,ST,64
Frazer Richardson,Rotherham Utd | FL Championship,RB,64
Xisco Muñoz,Nástic de Tarragona | None,ST,64
Benjamin Köhler,Union Berlin | 2. Bundesliga,CM,64
Nick Montgomery,Central Coast | A-League,CDM,64
Marcus Tudgay,Coventry City | Football League,ST,64
Marc Richards,Northampton | Football League 2,ST,64
Mika Väyrynen,LA Galaxy | MLS,CM,64
Geir Ludvig Fevang,Sandefjord Fotball | None,CDM,64
Cédric Varrault,Dijon FCO | Ligue 2,CB,64
David Bellion,Red Star FC | None,ST,64
Alain Nef,FC Zürich | Raiffeisen SL,CB,64
Anthar Yahia,Angers SCO | Ligue 2,CB,64
Dave Mackay,St. Johnstone | Scottish Prem,RB,64
Edson Buddle,LA Galaxy | MLS,ST,64
Barry Robson,Aberdeen | Scottish Prem,CDM,64
Archie Thompson,Melb. Victory | A-League,LM,64
Lee McCulloch,Kilmarnock | Scottish Prem,CB,64
Stephen Pearson,Motherwell | Scottish Prem,CM,64
Richie Foran,Inverness CT | Scottish Prem,CDM,64
Gill Swerts,Notts County | Football League,CDM,64
Jeffrey Leiwakabessy,NEC | None,LB,64
Roman Wallner,SV Grödig | A. Bundesliga,ST,64
Nathan Clarke,Bradford City | Football League,CB,64
Sinan Bakış,Kayserispor | None,ST,63
Dirceu Oliveira,CS Marítimo | Primeira Liga,CB,63
Alessio Da Cruz,FC Twente | Eredivisie,LW,63
Ottavio Selvaggi,Brisigonza | None,RM,63
Roberto Lanterna,Brisigonza | None,CB,63
Antonio Bonacciale,Brisigonza | None,RB,63
Iuliano Alfaro,Cruzeiro | None,ST,63
Vagnão Junior,Grêmio | None,ST,63
Flávio Triginho,Figueirense | None,ST,63
Fabiano Pulheim,Avaí | None,ST,63
Muo Cadete,Internacional | None,CB,63
Luildo Simões,Figueirense | None,CB,63
Raullino Meneses,São Paulo | None,LB,63
Ferno Meireles,Joinville | None,ST,63
Charles de Breito,Joinville | None,CB,63
Túlio Changas,Joinville | None,LB,63
Marlon Barninho,Avaí | None,LB,63
Alex Junior,Boavista | Primeira Liga,LB,63
Dennon Lewis,Watford | FL Championship,LW,63
Souza,Al-Fateh | ALJ League,ST,63
Lima,RCD Mallorca | Liga Adelante,CAM,63
Luis Carioca,RCD Mallorca | Liga Adelante,ST,63
Javier Parraguez,CD Huachipato | Camp. Scotiabank,ST,63
Stevie Rodriguez,Tijuana | LIGA Bancomer MX,CM,63
Tom Overtoom,Excelsior | Eredivisie,CM,63
Rubén Alcaraz,Girona CF | Liga Adelante,CM,63
Pavel Dolgov,Zenit | Russian League,ST,63
Daniel Aase,Start | Tippeligaen,CAM,63
Franck-Yves Bambock,SD Huesca | None,CDM,63
Marko Stanojevic,Al-Fateh | ALJ League,CDM,63
Răzvan Ochiroșii,AD Alcorcón | Liga Adelante,LB,63
Felipe Carvalho,Malmö FF | Allsvenskan,CB,63
Rubinho,Al Qadisiyah (Khobar) | None,CAM,63
Nemanja Antonov,Grasshopper | Raiffeisen SL,LB,63
Mahmoud Mawas,Al-Faisaly | ALJ League,RM,63
Toni,Real Valladolid | Liga Adelante,CAM,63
David Mills,AS Monaco | Ligue 1,RW,63
Matías Román,San Luis de Quillota | None,RM,63
José Pizarro,San Luis de Quillota | None,LM,63
Morillas,SD Huesca | None,LB,63
Luwagga Kizito,Rio Ave FC | Primeira Liga,RW,63
Mauro Savastano,Ajax | Eredivisie,LB,63
Arellano,Bilbao Athletic | None,LB,63
Miramón,CD Leganés | Liga Adelante,RM,63
Hélder Tavares,Tondela | None,CM,63
Batraz Khadartsev,Anzhi Makhachkala | None,LM,63
Farid Mellouli,Al Qadisiyah (Khobar) | None,CB,63
Mauricio Lemos,Rubin Kazan | Russian League,CB,63
Pablo Corral,San Marcos | Camp. Scotiabank,CM,63
Albert Sharipov,Rubin Kazan | Russian League,CM,63
Yaw Yeboah,LOSC Lille | Ligue 1,ST,63
Darko Lazić,Anzhi Makhachkala | None,CB,63
Corentin Tirard,AS Monaco | Ligue 1,LW,63
Galip Güzel,Osmanl1spor | None,CM,63
Joher Khadim Rassoul,Sport. Lokeren | Pro League,CDM,63
Ian McShane,Ross County | Scottish Prem,CM,63
Romero Regales,OH Leuven | None,ST,63
Osman Çelik,Antalyaspor | None,CDM,63
Kévin N&#39;Doram,AS Monaco | Ligue 1,CB,63
Olivier Myny,Waasl.-Beveren | Pro League,RM,63
Florent Stevance,Sp. Charleroi | Pro League,RW,63
Jano,SV Mattersburg | None,CDM,63
Grégoire Amiot,Stade Reims | Ligue 1,CB,63
Jason Berthomier,Bourg en Bresse 01 | None,CAM,63
Lamine Diompy,Bourg en Bresse 01 | None,CM,63
Yannick Goyon,Bourg en Bresse 01 | None,CB,63
Mickaël Alphonse,Bourg en Bresse 01 | None,RB,63
Manuel Guanini,G. La Plata | Primera División,CB,63
Frenkie de Jong,Willem II | Eredivisie,CM,63
Georgiy Tigiev,Anzhi Makhachkala | None,LB,63
Rafik Zekhnini,ODD | Tippeligaen,LW,63
Gaëtan Hendrickx,Sint-Truiden | None,CAM,63
Jelle van der Heyden,FC Twente | Eredivisie,CM,63
Kevin Mercado,Godoy Cruz | Primera División,LM,63
Eric Ayuk,Philadelphia | MLS,RW,63
Deybi Flores,Whitecaps FC | MLS,CDM,63
Maxim Batov,Rubin Kazan | Russian League,LM,63
Oleksandr Zinchenko,FC Ufa | Russian League,CAM,63
Calvin Verdonk,Feyenoord | Eredivisie,CDM,63
Anastasios Donis,FC Lugano | None,CF,63
Felix Platte,FC Schalke 04 | Bundesliga,ST,63
Tropi,Valencia CF | Liga BBVA,CDM,63
Oh Chang Hyeon,Pohang Steelers | K LEAGUE,CAM,63
Tshepo Gumede,Orlando Pirates | South African FL,CB,63
Kevin van Veen,Scunthorpe Utd | Football League,ST,63
Federico Gallego,Argentinos Juniors | None,RW,63
Roberto Brum,G. La Plata | Primera División,CM,63
Florian Sotoca,Montpellier HSC | Ligue 1,RW,63
Alessio Vita,Vicenza | Serie B,LW,63
Ignacio Boggino,Temperley | None,CB,63
Karol Danielak,Pogoń Szczecin | Ekstraklasa,LM,63
Juan Roa,Cortuluá | None,CDM,63
Ronivaldo,FK Austria | A. Bundesliga,ST,63
Rhett Anthony Bernstein,Mjøndalen IF | None,CB,63
Ignacio Maganto,LA Galaxy | MLS,LM,63
Amadou Dia,Sporting KC | MLS,RB,63
Miguel Aguilar,D.C. United | MLS,LM,63
Tim Parker,Whitecaps FC | MLS,CB,63
Khiry Shelton,NY City FC | MLS,ST,63
Ben Kantie Karamoko,Saint-Etienne | Ligue 1,CB,63
Matías Escudero,CD Palestino | Camp. Scotiabank,CB,63
Leonardo Saldaña,Jaguares de Córdoba | None,LB,63
Robin Maulun,Bordeaux | Ligue 1,CAM,63
Max Christiansen,FC Ingolstadt | 2. Bundesliga,CDM,63
Juninho Bacuna,FC Groningen | Eredivisie,CAM,63
Ignacio Cacheiro,Sarmiento | None,CAM,63
Daniel Delgado,Sarmiento | None,CB,63
Pablo Aguilar,Sarmiento | None,RB,63
Jang Hyun Soo,Suwon Bluewings | K LEAGUE,LW,63
Francisco Rivera,América | LIGA Bancomer MX,RM,63
Haris Hajradinović,KAA Gent | Pro League,LM,63
Luis López,Temperley | None,ST,63
Fernando Brandán,Temperley | None,CAM,63
Gastón Bojanich,Temperley | None,CB,63
Guillermo Sotelo,Huracán | None,LB,63
Desevio Payne,FC Groningen | Eredivisie,LB,63
Daniel Hernández,Atlas | LIGA Bancomer MX,LW,63
Jesús Gallardo,U.N.A.M. | LIGA Bancomer MX,LW,63
Alexandr Zuev,Spartak Moskva | Russian League,LW,63
Andrés Murillo,La Equidad | Liga Postobón,CB,63
Eneko Capilla,Real Sociedad | Liga BBVA,CAM,63
Magdaleno,Bilbao Athletic | None,LB,63
Kevin Balanta,Deportivo Cali | Liga Postobón,CDM,63
Oualid El Hasni,Vicenza | Serie B,CB,63
Rúben Lameiras,Coventry City | Football League,CAM,63
Nadiem Amiri,1899 Hoffenheim | Bundesliga,CAM,63
Sunday Abalo,Rio Ave FC | Primeira Liga,CDM,63
Arnoldo D&#39;Oro,Borgocalcio | None,CDM,63
Manuel Parcotti,Borgocalcio | None,RM,63
Davide Del Vasco,Borgocalcio | None,CB,63
Simonpaolo Vittorioso,Borgocalcio | None,RB,63
Abdou-Aziz Thiam,AS Monaco | Ligue 1,CDM,63
Ellyes Skhiri,Montpellier HSC | Ligue 1,RB,63
Rachid Aït-Atmane,Sporting Gijón | Liga Adelante,CM,63
Jesús,SD Huesca | None,CB,63
Lamine Ndao,Valenciennes FC | Ligue 2,RM,63
Marín,Villarreal CF | Liga BBVA,LB,63
Steve Mounié,Montpellier HSC | Ligue 1,ST,63
Bonke Innocent,Lillestrøm SK | Tippeligaen,CDM,63
Nikolai Laursen,PSV | Eredivisie,RW,63
Juan Antonio Portales,Monterrey | LIGA Bancomer MX,CB,63
Samed Kilic,AJ Auxerre | Ligue 2,CM,63
Hakan Çinemre,Fenerbahçe SK | Süper Lig,CB,63
Adrien Pagerie,Clermont Foot | Ligue 2,LB,63
Nikita Chernov,CSKA Moskva | Russian League,CB,63
Andrezinho,Paços Ferreira | Primeira Liga,CM,63
Rafael Páez,AD Alcorcón | Liga Adelante,CB,63
David Distéfano,Huracán | None,LM,63
Haris Belkebla,Tours FC | Ligue 2,CM,63
Jefferson Gómez,Envigado | Liga Postobón,CB,63
Dani Ramírez,Valencia CF | Liga BBVA,CAM,63
Mauricio Carrasco,Nueva Chicago | None,ST,63
Alex Gersbach,Sydney FC | A-League,LB,63
Patrick Andrade,Moreirense FC | Primeira Liga,CAM,63
Mario Bilate,Dundee United | Scottish Prem,ST,63
Tyronne Ebuehi,ADO Den Haag | Eredivisie,RB,63
Jordy de Wijs,PSV | Eredivisie,CB,63
Yannick Loemba,KV Oostende | Pro League,LM,63
Willem Huizing,sc Heerenveen | Eredivisie,CB,63
Henry Martín,Tijuana | LIGA Bancomer MX,RW,63
Ismail Al Maghrabi,Al-Shabab | ALJ League,ST,63
Dean Wells,Stevenage | Football League 2,CB,63
Ivan Kovačec,Ulsan Hyundai | K LEAGUE,LM,63
Farrend Rawson,Rotherham Utd | FL Championship,CB,63
Alex Kakuba,Estoril-Praia | Primeira Liga,LB,63
Paco Candela,CD Leganés | Liga Adelante,CDM,63
Samu,Albacete | Liga Adelante,RM,63
Aimar,UE Llagostera | Liga Adelante,RB,63
Carlos,CD Mirandés | Liga Adelante,RB,63
Anton Kilin,FC Ufa | Russian League,RW,63
Leandro,FC Arouca | Primeira Liga,RW,63
Andrea Conti,Atalanta | Serie A,RB,63
Famara Diedhiou,Clermont Foot | Ligue 2,ST,63
Sinan Kurt,FC Bayern | Bundesliga,LM,63
Claudio Guerra,Unión Santa Fe | None,ST,63
Lihué Prichoda,Nueva Chicago | None,LM,63
Batuhan Altintaş,Hamburger SV | Bundesliga,ST,63
Anthony Briançon,Nîmes Olympique | Ligue 2,CDM,63
Álvaro Bustos,Sporting Gijón | Liga Adelante,LW,63
Uğur Çiftçi,Gençlerbirliği | Süper Lig,LB,63
Marc Mbamba,Konyaspor | Süper Lig,LM,63
Lucas Acevedo,Nueva Chicago | None,CB,63
Yamil Asad,Vélez Sarsfield | Primera División,CM,63
Yelko Pino,Celta Vigo | Liga BBVA,CAM,63
Lynden Gooch,Sunderland | Barclays PL,CAM,63
Rochinha,Standard Liège | Pro League,CAM,63
Fabián Viáfara,Águilas Doradas | Liga Postobón,RB,63
Grant Ward,Rotherham Utd | FL Championship,CM,63
David Goldar,Celta Vigo | Liga BBVA,CB,63
Jhon Cano,Patriotas FC | Liga Postobón,RB,63
Lucas Suárez,Quilmes | Primera División,LB,63
Gautier Lloris,OGC Nice | Ligue 1,CB,63
George Fochive,Portland | MLS,CDM,63
Christoffer Carlsson,Falkenbergs FF | Allsvenskan,RM,63
Lucas Boyé,River Plate | Primera División,ST,63
Mohamed Slim Ben Othman,Angers SCO | Ligue 2,LM,63
Jay Fulton,Swansea City | Barclays PL,CM,63
Adam Armstrong,Coventry City | Football League,CF,63
Erik Thommy,1. FC K&#39;lautern | 2. Bundesliga,LM,63
Jonathan Segura,Patriotas FC | Liga Postobón,CB,63
Bogdan Milošević,Tours FC | Ligue 2,CB,63
Pedro Tavima,Boyacá Chicó | Liga Postobón,CB,63
Gino Bosz,Heracles Almelo | Eredivisie,CB,63
Marius Lundemo,Lillestrøm SK | Tippeligaen,CM,63
Steve Neumann,New England | MLS,CAM,63
Christian Dean,Whitecaps FC | MLS,CB,63
Matt Clarke,Portsmouth | Football League 2,CB,63
Ntsikelelo Nyauza,Orlando Pirates | South African FL,RB,63
Charlie Telfer,Dundee United | Scottish Prem,CAM,63
Sid Nelson,Millwall | FL Championship,CB,63
Eero Markkanen,NG - FA | Free Agents League,ST,63
Kwame Bonsu,Gefle IF | Allsvenskan,CM,63
Antonio Marín,UD Almería | Liga BBVA,RB,63
Gustavo Villarruel,Colón | None,RM,63
Dominik Kun,Pogoń Szczecin | Ekstraklasa,LM,63
Ryu Seung Woo,Bayer 04 | Bundesliga,ST,63
Alan Navarro,Patriotas FC | Liga Postobón,CAM,63
Estéfano Arango,Cúcuta Deportivo | None,RM,63
Guillermo Martínez,Pachuca | LIGA Bancomer MX,ST,63
Yannis Mbombo,Sint-Truiden | None,ST,63
Tim Leibold,1. FC Nuremberg | 2. Bundesliga,LB,63
Sebas Coris,Girona CF | Liga Adelante,LWB,63
Dawid Kownacki,Lech Poznań | Ekstraklasa,RM,63
Dani Romera,UD Almería | Liga BBVA,ST,63
Nikolay Komlichenko,FC Krasnodar | Russian League,ST,63
Bill Tuiloma,Marseille | Ligue 1,CB,63
Marco Ilaimaharitra,FC Sochaux | Ligue 2,CDM,63
Melvyn Lorenzen,Werder Bremen | Bundesliga,ST,63
Edgar Babayan,Randers FC | Superliga,LM,63
José Luis Cabión,CD Cobresal | Camp. Scotiabank,CDM,63
Ullysse Diallo,CS Marítimo | Primeira Liga,ST,63
Mihai Balasa,Crotone | Serie B,RB,63
Luca Cargnino,Torino | Serie A,CB,63
Emmanuel Gyasi,Torino | Serie A,LW,63
Simone Emmanuello,Vercelli | Serie B,CM,63
Marko Pavlovski,Royal Mouscron | Pro League,CM,63
Abdoul Aziz Kaboré,Valenciennes FC | Ligue 2,CM,63
Guillermo Varela,Manchester Utd | Barclays PL,RB,63
Jimmy Medranda,Sporting KC | MLS,LW,63
Islamnur Abdulavov,Anzhi Makhachkala | None,ST,63
Robert Simón,RCD Espanyol | Liga BBVA,RW,63
Sam Nicholson,Heart of Midlothian | None,LM,63
Simphiwe Mtsweni,Kaizer Chiefs | South African FL,LB,63
Francesco Zampano,Pescara | Serie B,RB,63
Diego Oyarzún,Unión La Calera | Camp. Scotiabank,LB,63
Alessandro Martinelli,Brescia | Serie B,CM,63
Steven Fortès,Le Havre AC | Ligue 2,CB,63
Dimas Morales,Rafaela | Primera División,LB,63
Nicolás Ferreyra,San Marcos | Camp. Scotiabank,CB,63
Rigino Cicilia,Roda JC Kerkrade | None,ST,63
Franco Lazzaroni,Colón | None,CB,63
Lenda Vumbi Bundu,Tours FC | Ligue 2,LB,63
Birger Solberg Meling,Stabæk Fotball | Tippeligaen,LB,63
Erik Palmer-Brown,Sporting KC | MLS,CB,63
Michael Cain,Leicester City | Barclays PL,CM,63
Alexi Gómez,San Luis de Quillota | None,LB,63
Matías Ramírez,CD Palestino | Camp. Scotiabank,RW,63
Raúl Osorio,CD O&#39;Higgins | Camp. Scotiabank,CB,63
Walter Mazzolatti,Depor. Iquique | Camp. Scotiabank,ST,63
Cidoncha,Albacete | Liga Adelante,CAM,63
Jonathan Zacaría,CD Palestino | Camp. Scotiabank,LM,63
Ismael Benegas,Colón | None,CB,63
Kristopher Vida,De Graafschap | None,CAM,63
Jari Oosterwijk,FC Twente | Eredivisie,ST,63
Eduards Višnakovs,KVC Westerlo | Pro League,ST,63
Ignacio Oroná,Temperley | None,CDM,63
Manuel Madrid,Cruz Azul | LIGA Bancomer MX,CB,63
Paul Arriola,Tijuana | LIGA Bancomer MX,RW,63
Chris Long,Burnley | Barclays PL,ST,63
Matthew Pennington,Everton | Barclays PL,CB,63
Juan Alvacete,Godoy Cruz | Primera División,LB,63
Constantin Nica,Avellino | Serie B,RB,63
Alexander Sørloth,FK Bodø/Glimt | Tippeligaen,ST,63
Armando Vajushi,Livorno | Serie B,RM,63
Óscar Gil,Bilbao Athletic | None,CDM,63
Stanislav Lobotka,FC Nordsjælland | Superliga,CM,63
Mario Leitgeb,FK Austria | A. Bundesliga,CDM,63
Angelo D&#39;Angelo,Avellino | Serie B,CM,63
Jasem Al Hamdan,Hajer | ALJ League,ST,63
Aníbal Carvallo,Uni. Concepción | Camp. Scotiabank,LW,63
Nahuel Valentini,La Spezia | Serie B,CB,63
Nikolay Safronidi,FC Ufa | Russian League,LB,63
Riccardo Serpieri,Lazio | Serie A,CB,63
Erdal Rakip,Malmö FF | Allsvenskan,CM,63
Eldis Bajrami,Admira | A. Bundesliga,RM,63
Ivan Kecojević,FC Zürich | Raiffeisen SL,CB,63
Filip Kasalica,Ulsan Hyundai | K LEAGUE,ST,63
Matteo Fedele,Carpi | Serie B,CM,63
Bagaliy Dabo,US Créteil | Ligue 2,LM,63
Boris Mahon de Monaghan,US Créteil | Ligue 2,RB,63
Vincent Di Bartoloméo,US Créteil | Ligue 2,CB,63
Luis Castillo,Colón | None,RB,63
Sergio Hipperdinger,Quilmes | Primera División,ST,63
Lee Ashcroft,Kilmarnock | Scottish Prem,CB,63
Eugenio Isnaldo,Fl. Varela | Primera División,LW,63
Lucas Janson,Tigre | Primera División,RM,63
Fabrizio Angileri,Godoy Cruz | Primera División,LM,63
Misael Dávila,Depor. Iquique | Camp. Scotiabank,LB,63
Leandro Navarro,Argentinos Juniors | None,RM,63
Jonathan Rebolledo,Depor. Iquique | Camp. Scotiabank,RM,63
Alejandro Vásquez,San Marcos | Camp. Scotiabank,LB,63
Javier Capelli,San Martín de San Juan | None,CB,63
Mario Berrios,Unión La Calera | Camp. Scotiabank,CB,63
Bruno Vides,Lanús | Primera División,ST,63
Ronald de la Fuente,Uni. Concepción | Camp. Scotiabank,LB,63
Mario Larenas,Unión Española | Camp. Scotiabank,LB,63
Tomás Astaburuaga,Unión Española | Camp. Scotiabank,RB,63
Luis Casanova,San Marcos | Camp. Scotiabank,CB,63
Óscar Hernández,Unión Española | Camp. Scotiabank,CAM,63
Marcos Figueroa,San Martín de San Juan | None,ST,63
Lucas Nahuel Rodríguez,Argentinos Juniors | None,LM,63
Postigo,La Spezia | Serie B,CB,63
Rodrigo Soria,Deportivo Pasto | Liga Postobón,LM,63
John Jairo Montaño,Cúcuta Deportivo | None,LM,63
Yonaider Ortega,Jaguares de Córdoba | None,CDM,63
Maurício Restrepo,La Equidad | Liga Postobón,CDM,63
Darwin López,Deportes Tolima | Liga Postobón,ST,63
Jonathan Ávila,Deportivo Pasto | Liga Postobón,CB,63
